GeneSymbol	EntrezID	MedGenID	Phenotype	Grouped
STT3B	201595	C3810067	Congenital.disorder.of.glycosylation.type.Ix	Congenital.disorder.of.glycosylation
CDAN1	146059	C0271933	"Congenital.dyserythropoietic.anemia,.type.I"	"Congenital.dyserythropoietic.anemia,.type.I"
SEC23B	10483	C1306589	"Congenital.dyserythropoietic.anemia,.type.II"	"Congenital.dyserythropoietic.anemia,.type.II"
TWIST2	117581	C1744559	Congenital.ectodermal.dysplasia.of.face	Congenital.ectodermal.dysplasia.of.face
UROS	7390	C0162530	Congenital.erythropoietic.porphyria	Congenital.erythropoietic.porphyria
AGPAT2	10555	C1720862	Congenital.generalized.lipodystrophy.type.1	Congenital.generalized.lipodystrophy.type.1
BSCL2	26580	C1720863	Congenital.generalized.lipodystrophy.type.2	Congenital.generalized.lipodystrophy.type.2
SLC5A1	6523	C0268186	Congenital.glucose-galactose.malabsorption	Congenital.glucose-galactose.malabsorption
ZIC3	7547	C3151867	"Congenital.heart.defects,.multiple.types,.1,.X-linked"	"Congenital.heart.defects,.multiple.types,.1,.X-linked"
NR2F2	7026	CN187046	"Congenital.heart.defects,.multiple.types,.4"	"Congenital.heart.defects,.multiple.types,.5"
PTCH1	5727	C0152021	Congenital.heart.disease	Congenital.heart.disease
TAB2	23118	C3150216	"Congenital.heart.disease,.multiple.types,.2"	"Congenital.heart.disease,.multiple.types,.3"
CPS1	1373	C0751753	"Congenital.hyperammonemia,.type.I"	"Congenital.hyperammonemia,.type.I"
EGR2	1959	C0393818	Congenital.hypomyelinating.neuropathy	Congenital.hypomyelinating.neuropathy
LCT	3938	C0268179	Congenital.lactase.deficiency	Congenital.lactase.deficiency
PIK3CA	5290	C2752042	"Congenital.lipomatous.overgrowth,.vascular.malformations,.and.epidermal.nevi"	"Congenital.lipomatous.overgrowth,.vascular.malformations,.and.epidermal.nevi"
ANK2	287	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
KCNE1	3753	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
KCNE2	9992	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
KCNH2	3757	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
KCNJ2	3759	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
KCNQ1	3784	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
SCN5A	6331	C1141890	Congenital.long.QT.syndrome	Long.QT.syndrome
MYO5B	4645	C0341306	Congenital.microvillous.atrophy	Congenital.microvillous.atrophy
COL6A1	1291	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
COL6A2	1292	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
COL6A3	1293	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
ITGA7	3679	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
LAMA2	3908	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
LMNA	4000	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
POMGNT1	55624	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
POMT1	10585	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
POMT2	29954	C0699743	Congenital.muscular.dystrophy	Congenital.muscular.dystrophy
LMNA	4000	C2750785	"Congenital.muscular.dystrophy,.LMNA-related"	Congenital.muscular.dystrophy
LAMA2	3908	C1842898	Congenital.muscular.dystrophy.due.to.partial.LAMA2.deficiency	Congenital.muscular.dystrophy
FKRP	79147	C1847759	Congenital.muscular.dystrophy-dystroglycanopathy.(with.or.without.mental.retardation).type.B5	Congenital.muscular.dystrophy
TMEM5	10329	C3554381	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A10"	Congenital.muscular.dystrophy
B3GALNT2	148789	C3554638	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A11"	Congenital.muscular.dystrophy
POMK	84197	C3808964	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A12"	Congenital.muscular.dystrophy
B4GAT1	11041	C3809042	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A13"	Congenital.muscular.dystrophy
GMPPB	29925	C3809216	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A14"	Congenital.muscular.dystrophy
POMT2	29954	C3150411	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A2"	Congenital.muscular.dystrophy
LARGE	9215	C3150414	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A6"	Congenital.muscular.dystrophy
ISPD	729920	C3553330	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A7"	Congenital.muscular.dystrophy
POMGNT2	84892	C3553813	"Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies,.type.A8"	Congenital.muscular.dystrophy
FKRP	79147	C3150413	Congenital.muscular.dystrophy-dystroglycanopathy.with.brain.and.eye.anomalies.type.A5	Congenital.muscular.dystrophy
POMT1	10585	C3150415	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B1"	Congenital.muscular.dystrophy
GMPPB	29925	C3809221	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B14"	Congenital.muscular.dystrophy
POMT2	29954	C3150416	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B2"	Congenital.muscular.dystrophy
POMGNT1	55624	C3150412	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B3"	Congenital.muscular.dystrophy
FKRP	79147	CN068807	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B5"	Congenital.muscular.dystrophy
LARGE	9215	C1837229	"Congenital.muscular.dystrophy-dystroglycanopathy.with.mental.retardation,.type.B6"	Congenital.muscular.dystrophy
FKTN	2218	C2751052	"Congenital.muscular.dystrophy-dystroglycanopathy.without.mental.retardation,.type.B4"	Congenital.muscular.dystrophy
FKRP	79147	CN068805	"Congenital.muscular.dystrophy-dystroglycanopathy.without.mental.retardation,.type.B5"	Congenital.muscular.dystrophy
SMC1A	8243	C1802395	Congenital.muscular.hypertrophy-cerebral.syndrome	Congenital.muscular.dystrophy
COX10	1352	C3502630	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"
COX15	1355	C3502630	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"
SCN4A	6329	C3502630	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"
SURF1	6834	C3502630	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"
TACO1	51204	C3502630	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"	"Congenital.myasthenic.syndrome,.acetazolamide-responsive"
GFPT1	2673	C1864649	Congenital.myasthenic.syndrome.with.tubular.aggregates.1	Congenital.myasthenic.syndrome.with.tubular.aggregates.2
RYR1	6261	C0270960	Congenital.myopathy	Congenital.myopathy
ACTA1	58	C0546264	Congenital.myopathy.with.fiber.type.disproportion	Congenital.myopathy.with.fiber.type.disproportion
MYH7	4625	C0546264	Congenital.myopathy.with.fiber.type.disproportion	Congenital.myopathy.with.fiber.type.disproportion
RYR1	6261	C0546264	Congenital.myopathy.with.fiber.type.disproportion	Congenital.myopathy.with.fiber.type.disproportion
SEPN1	57190	C0546264	Congenital.myopathy.with.fiber.type.disproportion	Congenital.myopathy.with.fiber.type.disproportion
TPM3	7170	C0546264	Congenital.myopathy.with.fiber.type.disproportion	Congenital.myopathy.with.fiber.type.disproportion
CLCN1	1180	C2936781	"Congenital.myotonia,.autosomal.dominant.form"	"Congenital.myotonia,.autosomal.dominant.form"
CLCN1	1180	C0751360	"Congenital.myotonia,.autosomal.recessive.form"	"Congenital.myotonia,.autosomal.recessive.form"
TCIRG1	10312	C0340970	congenital.neutropenia	congenital.neutropenia
FIBP	9158	C0009363	Congenital.ocular.coloboma	Congenital.ocular.coloboma
GDF3	9573	C0009363	Congenital.ocular.coloboma	Congenital.ocular.coloboma
PAX6	5080	C0009363	Congenital.ocular.coloboma	Congenital.ocular.coloboma
YAP1	10413	C0009363	Congenital.ocular.coloboma	Congenital.ocular.coloboma
DDOST	1650	C3281084	Congenital.order.of.glycosylation.type.1r	Congenital.order.of.glycosylation.type.1r
SLC26A3	1811	C0267662	"Congenital.secretory.diarrhea,.chloride.type"	"Congenital.secretory.diarrhea,.chloride.type"
NGF	4803	C0020075	Congenital.sensory.neuropathy.with.selective.loss.of.small.myelinated.fibers	Congenital.sensory.neuropathy.with.selective.loss.of.small.myelinated.fibers
CLMP	79827	C0021847	Congenital.short.bowel.syndrome	Congenital.short.bowel.syndrome
FLNA	2316	CN177834	"Congenital.short.bowel.syndrome,.X-linked"	"Congenital.short.bowel.syndrome,.X-linked"
RHO	6010	C1864869	"Congenital.stationary.night.blindness,.autosomal.dominant.1"	night.blindness
PDE6B	5158	C1876182	"Congenital.stationary.night.blindness,.autosomal.dominant.2"	night.blindness
GNAT1	2779	C1864870	"Congenital.stationary.night.blindness,.autosomal.dominant.3"	night.blindness
NYX	60506	C1839601	"Congenital.stationary.night.blindness,.type.1A"	night.blindness
GRM6	2916	C1850362	"Congenital.stationary.night.blindness,.type.1B"	night.blindness
TRPM1	4308	C2750747	"Congenital.stationary.night.blindness,.type.1C"	night.blindness
SLC24A1	9187	C3151193	"Congenital.stationary.night.blindness,.type.1D"	night.blindness
GPR179	440435	C3281215	"Congenital.stationary.night.blindness,.type.1E"	night.blindness
LRIT3	345193	C3554399	"Congenital.stationary.night.blindness,.type.1F"	night.blindness
CACNA1F	778	C1848172	"Congenital.stationary.night.blindness,.type.2A"	night.blindness
CABP4	57010	C1864877	"Congenital.stationary.night.blindness,.type.2B"	night.blindness
DCN	1634	C1864738	Congenital.Stromal.Corneal.Dystrophy	Congenital.Stromal.Corneal.Dystrophy
NKX2-6	137814	C1857586	Conotruncal.heart.malformations	Conotruncal.heart.malformations
CPOX	1371	C0342856	Coproporphyria	Coproporphyria
KERA	11081	C1857574	Cornea.plana.2	Cornea.plana.3
TCF4	6925	C2750451	"Corneal.dystrophy,.Fuchs.endothelial,.3"	Corneal.dystrophy
SLC4A11	83959	C2750450	"Corneal.dystrophy,.Fuchs.endothelial,.4"	Corneal.dystrophy
ZEB1	6935	C2750448	"Corneal.dystrophy,.Fuchs.endothelial,.6"	Corneal.dystrophy
AGBL1	123624	C3809798	"Corneal.dystrophy,.Fuchs.endothelial,.8"	Corneal.dystrophy
COL8A2	1296	C1850959	"Corneal.dystrophy,.Fuchs.endothelial.1"	Corneal.dystrophy
ZEB1	6935	C1836724	"Corneal.dystrophy,.posterior.polymorphous,.3"	Corneal.dystrophy
SLC4A11	83959	C1857572	Corneal.dystrophy.and.perceptive.deafness	Corneal.dystrophy
SLC4A11	83959	C1857569	Corneal.endothelial.dystrophy.type.2	Corneal.endothelial.dystrophy.type.3
TGFBI	7045	C0521723	Corneal.epithelial.dystrophy	Corneal.epithelial.dystrophy
ZNF469	84627	C0268344	"Corneal.fragility.keratoglobus,.blue.sclerae.AND.joint.hypermobility"	"Corneal.fragility.keratoglobus,.blue.sclerae.AND.joint.hypermobility"
NLRP1	22861	C3808876	Corneal.intraepithelial.dyskeratosis.and.ectodermal.dysplasia	Corneal.intraepithelial.dyskeratosis.and.ectodermal.dysplasia
KMT2A	4297	CN029798	Cornelia.de.Lange.syndrome.1	Cornelia.de.Lange.syndrome.1
NIPBL	25836	CN029798	Cornelia.de.Lange.syndrome.1	Cornelia.de.Lange.syndrome.1
TAF6	6878	CN029798	Cornelia.de.Lange.syndrome.1	Cornelia.de.Lange.syndrome.1
SMC3	9126	C1853099	Cornelia.de.Lange.syndrome.3	Cornelia.de.Lange.syndrome.3
RAD21	5885	C3553517	Cornelia.de.Lange.syndrome.4	Cornelia.de.Lange.syndrome.4
HDAC8	55869	C3550903	Cornelia.de.Lange.syndrome.5	Cornelia.de.Lange.syndrome.5
MEF2A	4205	C1842247	"Coronary.artery.disease,.autosomal.dominant,.1"	coronary.artery.disease
LRP6	4040	C1970440	"Coronary.artery.disease,.autosomal.dominant.2"	coronary.artery.disease
CCL2	6347	C1834750	"Coronary.artery.disease,.modifier.of"	coronary.artery.disease
IRS1	3667	C1840169	"Coronary.artery.disease,.susceptibility.to"	coronary.artery.disease
KL	9365	C1840169	"Coronary.artery.disease,.susceptibility.to"	coronary.artery.disease
TERT	7015	C1840169	"Coronary.artery.disease,.susceptibility.to"	coronary.artery.disease
NOS3	4846	CN069974	"Coronary.artery.spasm.1,.susceptibility.to"	coronary.artery.disease
ARHGAP9	64333	CN068477	"Coronary.artery.spasm.3,.susceptibility.to"	coronary.artery.disease
APOC3	345	C0010068	Coronary.heart.disease	coronary.artery.disease
IL1B	3553	C1842260	Coronary.heart.disease.2	coronary.artery.disease
KALRN	8997	C1837173	Coronary.heart.disease.5	coronary.artery.disease
MMP3	4314	C3280913	Coronary.heart.disease.6	coronary.artery.disease
CD36	948	C1970441	Coronary.heart.disease.7	coronary.artery.disease
ABCA1	19	C1838721	"Coronary.heart.disease.in.familial.hypercholesterolemia,.protection.against"	"Coronary.heart.disease.in.familial.hypercholesterolemia,.protection.against"
IGBP1	3476	C1845446	"Corpus.callosum,.agenesis.of,.with.mental.retardation,.ocular.coloboma,.and.micrognathia"	"Corpus.callosum,.agenesis.of,.with.mental.retardation,.ocular.coloboma,.and.micrognathia"
CDK5RAP2	55755	C0175754	Corpus.callosum.agenesis	Corpus.callosum.agenesis
TUBB3	10381	C3279670	"Cortical.dysplasia,.complex,.with.other.brain.malformations.1"	Cortical.dysplasia
KIF5C	3800	C3809013	"Cortical.dysplasia,.complex,.with.other.brain.malformations.2"	Cortical.dysplasia
KIF2A	3796	C3809414	"Cortical.dysplasia,.complex,.with.other.brain.malformations.3"	Cortical.dysplasia
TUBG1	7283	C3809420	"Cortical.dysplasia,.complex,.with.other.brain.malformations.4"	Cortical.dysplasia
TUBB2A	7280	C3810407	"Cortical.dysplasia,.complex,.with.other.brain.malformations.5"	Cortical.dysplasia
TUBB	203068	CN186681	"Cortical.dysplasia,.complex,.with.other.brain.malformations.6"	Cortical.dysplasia
CNTNAP2	26047	C1864887	Cortical.dysplasia-focal.epilepsy.syndrome	Cortical.dysplasia
LAMC3	10319	C3279875	"Cortical.malformations,.occipital"	"Cortical.malformations,.occipital"
SERPINA6	866	C1852529	Corticosteroid-binding.globulin.deficiency	Corticosteroid-binding.globulin.deficiency
CYP11B2	1585	CN074214	Corticosterone.methyloxidase.type.1.deficiency	Corticosterone.methyloxidase.type.1.deficiency
CYP11B2	1585	C3463917	Corticosterone.methyloxidase.type.2.deficiency	Corticosterone.methyloxidase.type.2.deficiency
H6PD	9563	C3551716	Cortisone.reductase.deficiency.1	Cortisone.reductase.deficiency.1
HSD11B1	3290	C3553382	Cortisone.reductase.deficiency.2	Cortisone.reductase.deficiency.2
HRAS	3265	C0587248	Costello.syndrome	Costello.syndrome
TNNT2	7139	C0587248	Costello.syndrome	Costello.syndrome
TBX15	6913	C1850040	Cousin.syndrome	Cousin.syndrome
PTEN	5728	CN072330	Cowden.syndrome.1	Cowden.syndrome
SDHD	6392	C3554516	Cowden.syndrome.3	Cowden.syndrome
KLLN	100144748	C3554517	Cowden.syndrome.4	Cowden.syndrome
PIK3CA	5290	C3554518	Cowden.syndrome.5	Cowden.syndrome
AKT1	207	C3554519	Cowden.syndrome.6	Cowden.syndrome
COL2A1	1280	C0023234	Coxa.plana	Coxa.plana
SOST	50964	C2675746	"Craniodiaphyseal.dysplasia,.autosomal.dominant"	"Craniodiaphyseal.dysplasia,.autosomal.dominant"
IFT122	55764	C0432235	Cranioectodermal.dysplasia.1	Cranioectodermal.dysplasia
WDR35	57539	C3150874	Cranioectodermal.dysplasia.2	Cranioectodermal.dysplasia
IFT43	112752	C3279807	Cranioectodermal.dysplasia.3	Cranioectodermal.dysplasia
WDR19	57728	C3280616	Cranioectodermal.dysplasia.4	Cranioectodermal.dysplasia
VSX1	30813	C1857964	Craniofacial.anomalies.and.anterior.segment.dysgenesis.syndrome	Craniofacial.anomalies.and.anterior.segment.dysgenesis.syndrome
PAX3	5077	C1852510	Craniofacial.deafness.hand.syndrome	Craniofacial.deafness.hand.syndrome
TMCO1	54499	C1859252	"Craniofacial.dysmorphism,.skeletal.anomalies,.and.mental.retardation.syndrome"	"Craniofacial.dysmorphism,.skeletal.anomalies,.and.mental.retardation.syndrome"
EFNB1	1947	C0220767	Craniofrontonasal.dysplasia	Craniofrontonasal.dysplasia
SEC23A	10484	C1843042	Craniolenticulosutural.dysplasia	Craniolenticulosutural.dysplasia
ANKH	56172	C1852502	"Craniometaphyseal.dysplasia,.autosomal.dominant"	"Craniometaphyseal.dysplasia,.autosomal.dominant"
GJA1	2697	C1857496	"Craniometaphyseal.dysplasia,.autosomal.recessive.type"	"Craniometaphyseal.dysplasia,.autosomal.recessive.type"
TWIST1	7291	CN029978	Craniosynostosis.1	Craniosynostosis
MSX2	4488	C1858160	Craniosynostosis.2	Craniosynostosis
TCF12	6938	C3715051	Craniosynostosis.3	Craniosynostosis
ERF	2077	C1833340	Craniosynostosis.4	Craniosynostosis
ALX4	60529	C3809819	"Craniosynostosis.5,.susceptibility.to"	Craniosynostosis
IL11RA	3590	C3280073	Craniosynostosis.and.dental.anomalies	Craniosynostosis
SLC6A8	6535	C1845862	"Creatine.deficiency,.X-linked"	"Creatine.deficiency,.X-linked"
CAV3	859	C0241005	"Creatine.phosphokinase,.elevated.serum"	"Creatine.phosphokinase,.elevated.serum"
UGT1A1	54658	C0010324	"Crigler.Najjar.syndrome,.type.1"	"Crigler.Najjar.syndrome,.type.1"
UGT1A1	54658	C2931132	"Crigler-Najjar.syndrome,.type.II"	"Crigler-Najjar.syndrome,.type.II"
CD55	1604	C1292305	Cromer.blood.group.system	Cromer.blood.group.system
FGFR2	2263	C0010273	Crouzon.syndrome	Crouzon.syndrome
FGFR3	2261	C2677099	Crouzon.syndrome.with.acanthosis.nigricans	Crouzon.syndrome.with.acanthosis.nigricans
FRAS1	80144	C0265233	Cryptophthalmos.syndrome	Cryptophthalmos.syndrome
FREM2	341640	C0265233	Cryptophthalmos.syndrome	Cryptophthalmos.syndrome
GRIP1	23426	C0265233	Cryptophthalmos.syndrome	Cryptophthalmos.syndrome
INSL3	3640	C0010417	"Cryptorchidism,.unilateral.or.bilateral"	"Cryptorchidism,.unilateral.or.bilateral"
RXFP2	122042	C0010417	"Cryptorchidism,.unilateral.or.bilateral"	"Cryptorchidism,.unilateral.or.bilateral"
MNX1	3110	C1531773	Currarino.triad	Currarino.triad
EVC2	132884	C0457013	Curry-Hall.syndrome	Curry-Hall.syndrome
NOG	9241	C1861385	Cushing's.symphalangism	Cushing's.symphalangism
STK11	6794	C1835047	Cutaneous.malignant.melanoma.1	Cutaneous.malignant.melanoma
CDK4	1019	C1836892	Cutaneous.malignant.melanoma.3	Cutaneous.malignant.melanoma
MC1R	4157	C2751295	Cutaneous.malignant.melanoma.5	Cutaneous.malignant.melanoma
XRCC3	7517	C3151417	Cutaneous.malignant.melanoma.6	Cutaneous.malignant.melanoma
TERT	7015	C3554574	Cutaneous.malignant.melanoma.9	Cutaneous.malignant.melanoma
SMAD3	4088	C0343190	Cutaneous.polyarteritis.nodosa	Cutaneous.polyarteritis.nodosa
ATR	545	C3281203	"Cutaneous.telangiectasia.and.cancer.syndrome,.familial"	"Cutaneous.telangiectasia.and.cancer.syndrome,.familial"
FGFR2	2263	C1852406	Cutis.Gyrata.syndrome.of.Beare.and.Stevenson	Cutis.Gyrata.syndrome.of.Beare.and.Stevenson
ELN	2006	C0268350	"Cutis.laxa,.autosomal.dominant"	Cutis.laxa
FBLN5	10516	C0268350	"Cutis.laxa,.autosomal.dominant"	Cutis.laxa
FBLN5	10516	C3280794	"Cutis.laxa,.autosomal.dominant.2"	Cutis.laxa
ATP7A	538	C0268353	"Cutis.laxa,.X-linked"	Cutis.laxa
ATP6V0A2	23545	C0268355	Cutis.laxa.with.osteodystrophy	Cutis.laxa
LTBP4	8425	C2750804	"Cutis.laxa.with.severe.pulmonary,.gastrointestinal,.and.urinary.abnormalities"	Cutis.laxa
ALDH18A1	5832	C0268354	Cutis.laxa-corneal.clouding-oligophrenia.syndrome	Cutis.laxa
HBG2	3048	C3151421	"Cyanosis,.transient.neonatal"	"Cyanosis,.transient.neonatal"
ELANE	1991	C0221023	Cyclical.neutropenia	Cyclical.neutropenia
CYLD	1540	C1851526	"Cylindromatosis,.familial"	"Cylindromatosis,.familial"
CTH	1491	C0220993	Cystathioninuria	Cystathioninuria
CFTR	1080	C0010674	Cystic.fibrosis	Cystic.fibrosis
TGFB1	7040	C0010674	Cystic.fibrosis	Cystic.fibrosis
CTNS	1497	C0010690	Cystinosis	Cystinosis
TRPV1	7442	C0010690	Cystinosis	Cystinosis
CTNS	1497	C2749685	"Cystinosis,.atypical.nephropathic"	"Cystinosis,.atypical.nephropathic"
CTNS	1497	C1857413	"Cystinosis,.ocular.nonnephropathic"	"Cystinosis,.ocular.nonnephropathic"
SLC3A1	6519	C0010691	Cystinuria	Cystinuria
SLC7A9	11136	C0010691	Cystinuria	Cystinuria
MT-CO1	4512	CN069330	Cytochrome.c.oxidase.i.deficiency	Cytochrome.c.oxidase.i.deficiency
APOPT1	84334	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
COX10	1352	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
COX14	84987	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
COX20	116228	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
COX6B1	1340	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
FASTKD2	22868	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
MT-CO1	4512	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
MT-CO2	4513	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
MT-CO3	4514	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
MT-TN	4570	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
PET100	100131801	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
SCO1	6341	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
SURF1	6834	C0268237	Cytochrome-c.oxidase.deficiency	Cytochrome-c.oxidase.deficiency
COL2A1	1280	C1836683	Czech.dysplasia.metatarsal.type	Czech.dysplasia.metatarsal.type
D2HGDH	728294	C3152055	D-2-hydroxyglutaric.aciduria.1	D-2-hydroxyglutaric.aciduria.1
IDH2	3418	C3150909	D-2-hydroxyglutaric.aciduria.2	D-2-hydroxyglutaric.aciduria.2
KIAA0196	9897	C0796137	Dandy-Walker.like.malformation.with.atrioventricular.septal.defect	Dandy-Walker.like.malformation.with.atrioventricular.septal.defect
LAMP2	3920	C0878677	Danon.disease	Danon.disease
ATP2A2	488	C1852296	"Darier.disease,.acral.hemorrhagic.type"	"Darier.disease,.acral.hemorrhagic.type"
ATP2A2	488	C1852297	"Darier.disease,.segmental"	"Darier.disease,.segmental"
DIAPH1	1729	C1852282	"Deafness,.autosomal.dominant.1"	Deafness 
EYA4	2070	C1832476	"Deafness,.autosomal.dominant.10"	Deafness 
MYO7A	4647	C1832475	"Deafness,.autosomal.dominant.11"	Deafness 
TECTA	7007	C1832187	"Deafness,.autosomal.dominant.12"	Deafness 
COL11A2	1302	C1866095	"Deafness,.autosomal.dominant.13"	Deafness 
POU4F3	5459	C1865366	"Deafness,.autosomal.dominant.15"	Deafness 
ACTG1	71	C1858172	"Deafness,.autosomal.dominant.20"	Deafness 
MYO6	4646	C1853441	"Deafness,.autosomal.dominant.22"	Deafness 
SIX1	6495	C1854594	"Deafness,.autosomal.dominant.23"	Deafness 
SLC17A8	246213	C1854158	"Deafness,.autosomal.dominant.25"	Deafness 
GRHL2	79977	C1837640	"Deafness,.autosomal.dominant.28"	Deafness 
GJB3	2707	C2675236	"Deafness,.autosomal.dominant.2b"	Deafness 
TMC1	117531	C1847626	"Deafness,.autosomal.dominant.36"	Deafness 
GJB2	2706	C2675750	"Deafness,.autosomal.dominant.3a"	Deafness 
GJB6	10804	C2675237	"Deafness,.autosomal.dominant.3b"	Deafness 
MYH14	79784	C1833503	"Deafness,.autosomal.dominant.4"	Deafness 
CRYM	1428	CN230313	"DEAFNESS,.AUTOSOMAL.DOMINANT.40"	Deafness 
P2RX2	22953	C1842371	"Deafness,.autosomal.dominant.41"	Deafness 
CCDC50	152137	C1843895	"Deafness,.autosomal.dominant.44"	Deafness 
MYO1A	4640	C1842939	"Deafness,.autosomal.dominant.48"	Deafness 
CEACAM16	388551	C3281297	"Deafness,.autosomal.dominant.4b"	Deafness 
DFNA5	1687	C1832932	"Deafness,.autosomal.dominant.5"	Deafness 
MIR96	407053	CN035509	"Deafness,.autosomal.dominant.50"	Deafness 
TNC	3371	C3810170	"Deafness,.autosomal.dominant.56"	Deafness 
DIABLO	56616	C3279948	"Deafness,.autosomal.dominant.64"	Deafness 
OSBPL2	9885	CN230132	"DEAFNESS,.AUTOSOMAL.DOMINANT.67"	Deafness 
COCH	1690	C1832425	"Deafness,.autosomal.dominant.9"	Deafness 
MYH9	4627	C1863659	"Deafness,.autosomal.dominant.nonsyndromic.sensorineural.17"	Deafness 
GJB3	2707	C1846647	"Deafness,.autosomal.recessive"	Deafness 
GRXCR2	643226	CN188273	"Deafness,.autosomal.recessive.101"	Deafness 
EPS8	2059	CN219004	"Deafness,.autosomal.recessive.102"	Deafness 
CLIC5	53405	CN221349	"Deafness,.autosomal.recessive.103"	Deafness 
FAM65B	9750	CN232324	"DEAFNESS,.AUTOSOMAL.RECESSIVE.104"	Deafness 
CDH23	64072	C1832394	"Deafness,.autosomal.recessive.12"	Deafness 
GIPC3	126326	C1866094	"Deafness,.autosomal.recessive.15"	Deafness 
STRC	161497	C1863561	"Deafness,.autosomal.recessive.16"	Deafness 
USH1C	10083	C1865870	"Deafness,.autosomal.recessive.18"	Deafness 
OTOG	340990	C3554163	"Deafness,.autosomal.recessive.18b"	Deafness 
GJB2	2706	C2673759	"Deafness,.autosomal.recessive.1A"	Deafness 
MYO7A	4647	C1838701	"Deafness,.autosomal.recessive.2"	Deafness 
OTOA	146183	C1846896	"Deafness,.autosomal.recessive.22"	Deafness 
PCDH15	65217	C1836027	"Deafness,.autosomal.recessive.23"	Deafness 
RDX	5962	C1970239	"Deafness,.autosomal.recessive.24"	Deafness 
GRXCR1	389207	C1414017	"Deafness,.autosomal.recessive.25"	Deafness 
TRIOBP	11078	C1853276	"Deafness,.autosomal.recessive.28"	Deafness 
CLDN14	23562	C3279660	"Deafness,.autosomal.recessive.29"	Deafness 
MYO15A	51168	C1838263	"Deafness,.autosomal.recessive.3"	Deafness 
MYO3A	53904	C1846784	"Deafness,.autosomal.recessive.30"	Deafness 
DFNB31	25861	C1846839	"Deafness,.autosomal.recessive.31"	Deafness 
ESRRB	2103	C1837857	"Deafness,.autosomal.recessive.35"	Deafness 
